TIME(MS),COMMAND,VALUE
952     ,5      ,1    
1858    ,5      ,0    
2554    ,5      ,1    
2624    ,5      ,0    
2902    ,5      ,1    
3019    ,5      ,0    
3204    ,5      ,1    
3622    ,5      ,0    
3913    ,5      ,1    
4063    ,5      ,0    
4563    ,5      ,1    
5718    ,5      ,0    
6002    ,5      ,1    
6397    ,5      ,0    
6606    ,5      ,1    
7024    ,5      ,0    
7268    ,5      ,1    
8800    ,5      ,0    
9497    ,5      ,1    
9706    ,5      ,0    
9915    ,5      ,1    
9973    ,5      ,0    
10194   ,5      ,1    
11285   ,5      ,0    
11633   ,5      ,1    
11958   ,5      ,0    
12330   ,5      ,1    
12608   ,5      ,0    
12829   ,5      ,1    
14710   ,5      ,0    
15302   ,5      ,1    
15395   ,5      ,0    
15639   ,5      ,1    
15720   ,5      ,0    
15999   ,5      ,1    
17055   ,5      ,0    
17357   ,5      ,1    
17903   ,5      ,0    
18297   ,5      ,1    
18634   ,5      ,0    
19006   ,5      ,1    
20654   ,5      ,0    
21211   ,5      ,1    
21374   ,5      ,0    
22163   ,5      ,1    
23336   ,5      ,0    
23557   ,5      ,1    
23928   ,5      ,0    
24300   ,5      ,1    
24694   ,5      ,0    
25182   ,5      ,1    
26227   ,5      ,0    
27318   ,5      ,1    
27446   ,5      ,0    
27725   ,5      ,1    
27783   ,5      ,0    
28212   ,5      ,1    
28967   ,5      ,0    
29768   ,5      ,1    
29872   ,5      ,0    
29972   ,END    ,1    
